Date,Port,Month,BDI,BDI_Inertia,Rain_Forecast,Wind_Forecast,Fog_Risk,Target_Delay
2020-03-16,Vancouver,3,623.0,509.8,210.2,20.6,0.07,13.75
2020-03-16,Zhangjiagang,3,623.0,509.8,18.3,19.5,0.33,0.69
2020-03-16,Nantong,3,623.0,509.8,61.7,13.1,0.3,2.03
2020-03-16,Nanjing,3,623.0,509.8,153.9,14.9,0.37,7.28
2020-03-16,Jiangyin,3,623.0,509.8,54.5,17.2,0.33,1.85
2020-03-16,Caofeidian,3,623.0,509.8,79.7,22.5,0.3,3.92
2020-03-16,Tianjin,3,623.0,509.8,21.0,22.9,0.27,0.54
2020-03-16,Jingtang,3,623.0,509.8,107.5,22.6,0.3,4.62
2020-03-16,Qinhuangdao,3,623.0,509.8,5.8,17.8,0.3,3.19
2020-03-16,Dalian,3,623.0,509.8,86.7,19.1,0.27,0.92
2020-03-16,Yingkou,3,623.0,509.8,13.1,26.1,0.27,1.04
2020-03-16,Qingdao,3,623.0,509.8,56.7,28.6,0.27,1.6
2020-03-16,Rizhao,3,623.0,509.8,134.1,17.5,0.27,1.69
2020-03-16,Lianyungang,3,623.0,509.8,73.4,16.1,0.27,1.21
2020-03-16,Ningbo,3,623.0,509.8,2.3,19.1,0.15,3.2
2020-03-16,Zhoushan,3,623.0,509.8,167.7,18.5,0.15,7.57
2020-03-16,Fangcheng,3,623.0,509.8,127.4,10.0,0.0,6.68
2020-03-16,Zhanjiang,3,623.0,509.8,244.1,25.9,0.09,11.09
2020-03-16,Guangzhou,3,623.0,509.8,158.7,13.8,0.0,9.57
2020-03-16,Krishnapatnam,3,623.0,509.8,208.2,8.6,0.0,15.54
2020-03-16,Mangalore,3,623.0,509.8,68.4,26.8,0.0,8.89
2020-03-16,Gwangyang,3,623.0,509.8,16.8,22.8,0.0,0.74
2020-03-16,Teluk Rubiah,3,623.0,509.8,85.2,22.7,0.0,2.3
2020-03-17,Ponta da Madeira,3,612.0,512.8,410.3,16.3,0.0,15.78
2020-03-17,Tubarao,3,612.0,512.8,196.3,8.5,0.0,15.34
2020-03-17,Itaguai,3,612.0,512.8,412.2,12.7,0.0,15.48
2020-03-17,Port Hedland,3,612.0,512.8,48.9,13.4,0.0,1.08
2020-03-17,Dampier,3,612.0,512.8,19.0,19.8,0.0,1.13
2020-03-17,Saldanha Bay,3,612.0,512.8,61.9,39.6,0.13,3.03
2020-03-17,Taboneo,3,612.0,512.8,359.9,24.8,0.0,15.58
2020-03-17,Kamsar,3,612.0,512.8,252.0,6.2,0.0,15.36
2020-03-17,Vancouver,3,612.0,512.8,342.4,8.1,0.07,15.39
2020-03-17,Zhangjiagang,3,612.0,512.8,79.0,17.9,0.33,2.59
2020-03-17,Nantong,3,612.0,512.8,121.5,20.2,0.3,7.0
2020-03-17,Nanjing,3,612.0,512.8,72.8,21.3,0.37,5.76
2020-03-17,Jiangyin,3,612.0,512.8,140.5,16.7,0.33,3.65
2020-03-17,Caofeidian,3,612.0,512.8,103.0,26.0,0.3,1.15
2020-03-17,Tianjin,3,612.0,512.8,143.6,11.5,0.27,4.25
2020-03-17,Jingtang,3,612.0,512.8,61.2,28.3,0.3,1.49
2020-03-17,Qinhuangdao,3,612.0,512.8,69.8,36.7,0.3,4.08
2020-03-17,Dalian,3,612.0,512.8,51.4,17.4,0.27,0.78
2020-03-17,Yingkou,3,612.0,512.8,127.2,14.5,0.27,4.17
2020-03-17,Qingdao,3,612.0,512.8,89.6,32.8,0.27,1.44
2020-03-17,Rizhao,3,612.0,512.8,110.7,17.7,0.27,1.83
2020-03-17,Lianyungang,3,612.0,512.8,25.5,10.8,0.27,0.7
2020-03-17,Ningbo,3,612.0,512.8,107.9,32.6,0.15,3.71
2020-03-17,Zhoushan,3,612.0,512.8,144.5,21.0,0.15,4.55
2020-03-17,Fangcheng,3,612.0,512.8,140.5,21.8,0.0,6.61
2020-03-17,Zhanjiang,3,612.0,512.8,31.7,12.3,0.09,1.86
2020-03-17,Guangzhou,3,612.0,512.8,170.2,26.3,0.0,9.11
2020-03-17,Krishnapatnam,3,612.0,512.8,163.6,8.4,0.0,15.62
2020-03-17,Mangalore,3,612.0,512.8,249.8,10.9,0.0,15.83
2020-03-17,Gwangyang,3,612.0,512.8,45.1,11.9,0.0,1.0
2020-03-17,Teluk Rubiah,3,612.0,512.8,75.4,22.1,0.0,2.31
2020-03-18,Ponta da Madeira,3,629.0,516.1,304.3,17.1,0.0,15.52
2020-03-18,Tubarao,3,629.0,516.1,271.0,18.4,0.0,15.58
2020-03-18,Itaguai,3,629.0,516.1,45.8,6.6,0.0,4.71
2020-03-18,Port Hedland,3,629.0,516.1,92.3,17.2,0.0,1.53
2020-03-18,Dampier,3,629.0,516.1,109.1,31.7,0.0,2.28
2020-03-18,Saldanha Bay,3,629.0,516.1,6.4,26.1,0.13,1.5
2020-03-18,Taboneo,3,629.0,516.1,540.9,24.5,0.0,15.85
2020-03-18,Kamsar,3,629.0,516.1,102.2,14.2,0.0,11.06
2020-03-18,Vancouver,3,629.0,516.1,205.3,6.8,0.07,18.39
2020-03-18,Zhangjiagang,3,629.0,516.1,132.4,23.4,0.33,4.32
2020-03-18,Nantong,3,629.0,516.1,198.5,29.5,0.3,5.71
2020-03-18,Nanjing,3,629.0,516.1,240.2,10.2,0.37,6.26
2020-03-18,Jiangyin,3,629.0,516.1,71.8,19.3,0.33,5.74
2020-03-18,Caofeidian,3,629.0,516.1,88.5,18.1,0.3,3.95
2020-03-18,Tianjin,3,629.0,516.1,115.2,10.1,0.27,1.28
2020-03-18,Jingtang,3,629.0,516.1,55.9,25.1,0.3,4.21
2020-03-18,Qinhuangdao,3,629.0,516.1,112.7,26.0,0.3,1.71
2020-03-18,Dalian,3,629.0,516.1,7.0,21.9,0.27,0.64
2020-03-18,Yingkou,3,629.0,516.1,76.9,11.4,0.27,3.98
2020-03-18,Qingdao,3,629.0,516.1,87.3,28.0,0.27,1.76
2020-03-18,Rizhao,3,629.0,516.1,80.5,25.9,0.27,1.21
2020-03-18,Lianyungang,3,629.0,516.1,66.6,17.8,0.27,1.01
2020-03-18,Ningbo,3,629.0,516.1,123.3,11.0,0.15,6.21
2020-03-18,Zhoushan,3,629.0,516.1,146.6,28.7,0.15,3.83
2020-03-18,Fangcheng,3,629.0,516.1,132.6,16.8,0.0,6.83
2020-03-18,Zhanjiang,3,629.0,516.1,271.9,19.1,0.09,13.02
2020-03-18,Guangzhou,3,629.0,516.1,173.0,9.5,0.0,10.7
2020-03-18,Krishnapatnam,3,629.0,516.1,14.0,14.0,0.0,1.92
2020-03-18,Mangalore,3,629.0,516.1,14.7,17.9,0.0,2.64
2020-03-18,Gwangyang,3,629.0,516.1,51.2,25.3,0.0,1.19
2020-03-18,Teluk Rubiah,3,629.0,516.1,67.8,7.8,0.0,2.16
2020-03-19,Ponta da Madeira,3,630.0,519.3,269.2,22.3,0.0,15.56
2020-03-19,Tubarao,3,630.0,519.3,153.4,21.9,0.0,15.62
2020-03-19,Itaguai,3,630.0,519.3,68.2,10.1,0.0,6.29
2020-03-19,Port Hedland,3,630.0,519.3,75.0,25.0,0.0,2.06
2020-03-19,Dampier,3,630.0,519.3,58.6,31.1,0.0,2.03
2020-03-19,Saldanha Bay,3,630.0,519.3,54.8,35.4,0.13,2.4
2020-03-19,Taboneo,3,630.0,519.3,325.3,18.4,0.0,15.2
2020-03-19,Kamsar,3,630.0,519.3,39.1,17.7,0.0,4.27
2020-03-19,Vancouver,3,630.0,519.3,186.1,21.3,0.07,14.5
2020-03-19,Zhangjiagang,3,630.0,519.3,274.4,27.5,0.33,6.55
2020-03-19,Nantong,3,630.0,519.3,216.8,10.9,0.3,5.6
2020-03-19,Nanjing,3,630.0,519.3,143.3,10.1,0.37,7.32
2020-03-19,Jiangyin,3,630.0,519.3,95.7,17.9,0.33,2.41
2020-03-19,Caofeidian,3,630.0,519.3,87.2,20.9,0.3,1.42
2020-03-19,Tianjin,3,630.0,519.3,3.2,12.4,0.27,4.03
2020-03-19,Jingtang,3,630.0,519.3,77.3,26.6,0.3,0.88
2020-03-19,Qinhuangdao,3,630.0,519.3,18.9,38.8,0.3,3.64
2020-03-19,Dalian,3,630.0,519.3,26.7,37.1,0.27,1.4
2020-03-19,Yingkou,3,630.0,519.3,71.0,19.4,0.27,0.93
2020-03-19,Qingdao,3,630.0,519.3,80.4,30.6,0.27,1.43
2020-03-19,Rizhao,3,630.0,519.3,112.0,15.7,0.27,1.5
2020-03-19,Lianyungang,3,630.0,519.3,17.6,23.7,0.27,0.75
2020-03-19,Ningbo,3,630.0,519.3,94.1,22.0,0.15,3.98
2020-03-19,Zhoushan,3,630.0,519.3,122.8,11.9,0.15,3.77
2020-03-19,Fangcheng,3,630.0,519.3,38.3,14.0,0.0,2.31
2020-03-19,Zhanjiang,3,630.0,519.3,245.6,26.9,0.09,14.4
2020-03-19,Guangzhou,3,630.0,519.3,187.3,23.2,0.0,9.54
2020-03-19,Krishnapatnam,3,630.0,519.3,3.5,11.3,0.0,1.04
2020-03-19,Mangalore,3,630.0,519.3,261.7,21.6,0.0,15.63
2020-03-19,Gwangyang,3,630.0,519.3,100.2,8.7,0.0,1.44
2020-03-19,Teluk Rubiah,3,630.0,519.3,96.2,11.0,0.0,3.32
2020-03-20,Ponta da Madeira,3,625.0,522.2,440.2,13.0,0.0,15.57
2020-03-20,Tubarao,3,625.0,522.2,261.2,9.1,0.0,15.71
2020-03-20,Itaguai,3,625.0,522.2,135.3,14.0,0.0,14.57
2020-03-20,Port Hedland,3,625.0,522.2,21.1,15.8,0.0,0.93
2020-03-20,Dampier,3,625.0,522.2,74.0,29.0,0.0,1.8
2020-03-20,Saldanha Bay,3,625.0,522.2,37.0,16.4,0.13,1.33
2020-03-20,Taboneo,3,625.0,522.2,585.2,7.7,0.0,15.63
2020-03-20,Kamsar,3,625.0,522.2,66.0,7.8,0.0,5.86
2020-03-20,Vancouver,3,625.0,522.2,28.4,19.1,0.07,2.47
2020-03-20,Zhangjiagang,3,625.0,522.2,219.8,21.4,0.33,8.94
2020-03-20,Nantong,3,625.0,522.2,4.7,20.9,0.3,3.42
2020-03-20,Nanjing,3,625.0,522.2,102.2,14.0,0.37,3.29
2020-03-20,Jiangyin,3,625.0,522.2,92.5,15.7,0.33,5.86
2020-03-20,Caofeidian,3,625.0,522.2,117.2,22.5,0.3,1.21
2020-03-20,Tianjin,3,625.0,522.2,2.8,11.6,0.27,3.57
2020-03-20,Jingtang,3,625.0,522.2,48.7,27.6,0.3,1.13
2020-03-20,Qinhuangdao,3,625.0,522.2,47.3,18.6,0.3,1.05
2020-03-20,Dalian,3,625.0,522.2,128.4,21.2,0.27,3.91
2020-03-20,Yingkou,3,625.0,522.2,126.8,32.0,0.27,1.7
2020-03-20,Qingdao,3,625.0,522.2,60.7,13.4,0.27,0.98
2020-03-20,Rizhao,3,625.0,522.2,95.5,25.1,0.27,1.64
2020-03-20,Lianyungang,3,625.0,522.2,88.8,13.1,0.27,1.03
2020-03-20,Ningbo,3,625.0,522.2,140.9,29.7,0.15,4.42
2020-03-20,Zhoushan,3,625.0,522.2,74.0,12.2,0.15,2.35
2020-03-20,Fangcheng,3,625.0,522.2,221.1,8.4,0.0,12.35
2020-03-20,Zhanjiang,3,625.0,522.2,165.6,31.9,0.09,9.82
2020-03-20,Guangzhou,3,625.0,522.2,177.9,16.0,0.0,10.71
2020-03-20,Krishnapatnam,3,625.0,522.2,16.7,13.8,0.0,2.37
2020-03-20,Mangalore,3,625.0,522.2,166.6,25.3,0.0,15.68
2020-03-20,Gwangyang,3,625.0,522.2,97.3,8.6,0.0,1.38
2020-03-20,Teluk Rubiah,3,625.0,522.2,69.4,11.7,0.0,2.99
2020-03-23,Ponta da Madeira,3,617.0,524.7,385.8,20.6,0.0,14.99
2020-03-23,Tubarao,3,617.0,524.7,3.9,13.5,0.0,0.65
2020-03-23,Itaguai,3,617.0,524.7,34.8,10.3,0.0,3.86
2020-03-23,Port Hedland,3,617.0,524.7,37.4,12.3,0.0,0.94
2020-03-23,Dampier,3,617.0,524.7,103.0,26.2,0.0,2.03
2020-03-23,Saldanha Bay,3,617.0,524.7,16.9,38.3,0.13,1.48
2020-03-23,Taboneo,3,617.0,524.7,170.0,7.6,0.0,15.4
2020-03-23,Kamsar,3,617.0,524.7,28.6,6.6,0.0,3.37
2020-03-23,Vancouver,3,617.0,524.7,278.8,10.8,0.07,15.6
2020-03-23,Zhangjiagang,3,617.0,524.7,46.5,18.2,0.33,4.56
2020-03-23,Nantong,3,617.0,524.7,255.9,23.4,0.3,8.94
2020-03-23,Nanjing,3,617.0,524.7,134.0,18.6,0.37,6.01
2020-03-23,Jiangyin,3,617.0,524.7,96.5,20.5,0.33,2.95
2020-03-23,Caofeidian,3,617.0,524.7,123.5,28.8,0.3,1.57
2020-03-23,Tianjin,3,617.0,524.7,23.5,29.6,0.27,1.26
2020-03-23,Jingtang,3,617.0,524.7,43.2,16.5,0.3,0.65
2020-03-23,Qinhuangdao,3,617.0,524.7,40.8,12.2,0.3,0.77
2020-03-23,Dalian,3,617.0,524.7,108.1,13.4,0.27,0.76
2020-03-23,Yingkou,3,617.0,524.7,60.1,20.0,0.27,3.95
2020-03-23,Qingdao,3,617.0,524.7,120.9,22.9,0.27,2.25
2020-03-23,Rizhao,3,617.0,524.7,64.8,23.5,0.27,1.14
2020-03-23,Lianyungang,3,617.0,524.7,111.3,22.7,0.27,1.98
2020-03-23,Ningbo,3,617.0,524.7,115.2,26.4,0.15,4.37
2020-03-23,Zhoushan,3,617.0,524.7,41.9,12.0,0.15,4.01
2020-03-23,Fangcheng,3,617.0,524.7,151.9,13.5,0.0,9.45
2020-03-23,Zhanjiang,3,617.0,524.7,61.0,22.1,0.09,3.56
2020-03-23,Guangzhou,3,617.0,524.7,289.7,25.7,0.0,13.98
2020-03-23,Krishnapatnam,3,617.0,524.7,171.0,14.3,0.0,15.46
2020-03-23,Mangalore,3,617.0,524.7,178.4,20.1,0.0,15.53
2020-03-23,Gwangyang,3,617.0,524.7,87.0,15.1,0.0,1.2
2020-03-23,Teluk Rubiah,3,617.0,524.7,9.2,14.8,0.0,0.39
2020-03-24,Ponta da Madeira,3,603.0,526.7,263.2,14.8,0.0,15.65
2020-03-24,Tubarao,3,603.0,526.7,368.8,8.0,0.0,15.27
2020-03-24,Itaguai,3,603.0,526.7,360.0,13.4,0.0,15.82
2020-03-24,Port Hedland,3,603.0,526.7,73.4,31.6,0.0,1.66
2020-03-24,Dampier,3,603.0,526.7,25.9,23.7,0.0,1.41
2020-03-24,Saldanha Bay,3,603.0,526.7,21.9,31.7,0.13,2.48
2020-03-24,Taboneo,3,603.0,526.7,177.2,16.4,0.0,15.78
2020-03-24,Kamsar,3,603.0,526.7,341.9,9.5,0.0,15.09
2020-03-24,Vancouver,3,603.0,526.7,137.4,10.1,0.07,7.59
2020-03-24,Zhangjiagang,3,603.0,526.7,113.0,21.3,0.33,3.28
2020-03-24,Nantong,3,603.0,526.7,2.6,9.5,0.3,0.87
2020-03-24,Nanjing,3,603.0,526.7,48.7,16.5,0.37,4.77
2020-03-24,Jiangyin,3,603.0,526.7,34.0,18.1,0.33,1.25
2020-03-24,Caofeidian,3,603.0,526.7,65.1,20.7,0.3,0.78
2020-03-24,Tianjin,3,603.0,526.7,77.1,10.5,0.27,4.08
2020-03-24,Jingtang,3,603.0,526.7,56.7,35.0,0.3,1.22
2020-03-24,Qinhuangdao,3,603.0,526.7,2.6,24.7,0.3,4.12
2020-03-24,Dalian,3,603.0,526.7,83.9,21.5,0.27,1.34
2020-03-24,Yingkou,3,603.0,526.7,42.7,34.6,0.27,1.23
2020-03-24,Qingdao,3,603.0,526.7,31.0,21.8,0.27,1.13
2020-03-24,Rizhao,3,603.0,526.7,114.9,35.5,0.27,2.09
2020-03-24,Lianyungang,3,603.0,526.7,78.9,17.9,0.27,1.14
2020-03-24,Ningbo,3,603.0,526.7,183.1,19.7,0.15,5.76
2020-03-24,Zhoushan,3,603.0,526.7,27.9,14.3,0.15,1.37
2020-03-24,Fangcheng,3,603.0,526.7,99.1,27.0,0.0,5.17
2020-03-24,Zhanjiang,3,603.0,526.7,76.1,11.5,0.09,3.84
2020-03-24,Guangzhou,3,603.0,526.7,18.6,20.4,0.0,1.38
2020-03-24,Krishnapatnam,3,603.0,526.7,4.4,15.9,0.0,1.08
2020-03-24,Mangalore,3,603.0,526.7,295.4,22.5,0.0,15.71
2020-03-24,Gwangyang,3,603.0,526.7,54.2,16.7,0.0,1.32
2020-03-24,Teluk Rubiah,3,603.0,526.7,4.7,16.5,0.0,0.52
2020-03-25,Ponta da Madeira,3,582.0,528.0,236.5,17.7,0.0,15.72
2020-03-25,Tubarao,3,582.0,528.0,69.9,11.7,0.0,6.15
2020-03-25,Itaguai,3,582.0,528.0,54.8,5.3,0.0,5.04
2020-03-25,Port Hedland,3,582.0,528.0,31.1,15.4,0.0,0.7
2020-03-25,Dampier,3,582.0,528.0,47.3,13.5,0.0,1.21
2020-03-25,Saldanha Bay,3,582.0,528.0,59.6,45.8,0.13,3.46
2020-03-25,Taboneo,3,582.0,528.0,275.1,17.3,0.0,15.8
2020-03-25,Kamsar,3,582.0,528.0,387.2,12.8,0.0,15.41
2020-03-25,Vancouver,3,582.0,528.0,8.0,15.1,0.07,1.02
2020-03-25,Zhangjiagang,3,582.0,528.0,187.4,9.8,0.33,4.54
2020-03-25,Nantong,3,582.0,528.0,77.8,16.0,0.3,2.11
2020-03-25,Nanjing,3,582.0,528.0,17.4,12.9,0.37,0.93
2020-03-25,Jiangyin,3,582.0,528.0,26.0,16.3,0.33,1.6
2020-03-25,Caofeidian,3,582.0,528.0,33.8,23.0,0.3,1.31
2020-03-25,Tianjin,3,582.0,528.0,96.6,13.2,0.27,1.24
2020-03-25,Jingtang,3,582.0,528.0,75.6,14.1,0.3,0.77
2020-03-25,Qinhuangdao,3,582.0,528.0,7.3,19.0,0.3,3.42
2020-03-25,Dalian,3,582.0,528.0,64.5,14.5,0.27,0.94
2020-03-25,Yingkou,3,582.0,528.0,121.3,10.9,0.27,1.33
2020-03-25,Qingdao,3,582.0,528.0,21.4,23.3,0.27,0.66
2020-03-25,Rizhao,3,582.0,528.0,33.4,16.0,0.27,0.97
2020-03-25,Lianyungang,3,582.0,528.0,0.6,13.0,0.27,0.91
2020-03-25,Ningbo,3,582.0,528.0,117.8,21.9,0.15,4.84
2020-03-25,Zhoushan,3,582.0,528.0,278.1,19.2,0.15,6.33
2020-03-25,Fangcheng,3,582.0,528.0,135.9,25.8,0.0,7.42
2020-03-25,Zhanjiang,3,582.0,528.0,306.8,26.9,0.09,14.35
2020-03-25,Guangzhou,3,582.0,528.0,178.2,18.6,0.0,8.08
2020-03-25,Krishnapatnam,3,582.0,528.0,125.3,15.5,0.0,14.75
2020-03-25,Mangalore,3,582.0,528.0,270.6,18.4,0.0,15.26
2020-03-25,Gwangyang,3,582.0,528.0,15.9,12.7,0.0,0.92
2020-03-25,Teluk Rubiah,3,582.0,528.0,41.7,25.8,0.0,2.08
2020-03-26,Ponta da Madeira,3,569.0,529.0,314.0,24.4,0.0,15.46
2020-03-26,Tubarao,3,569.0,529.0,98.8,7.8,0.0,8.72
2020-03-26,Itaguai,3,569.0,529.0,270.5,11.5,0.0,15.55
2020-03-26,Port Hedland,3,569.0,529.0,21.4,26.3,0.0,1.36
2020-03-26,Dampier,3,569.0,529.0,8.4,18.8,0.0,0.68
2020-03-26,Saldanha Bay,3,569.0,529.0,13.1,19.4,0.13,0.88
2020-03-26,Taboneo,3,569.0,529.0,546.7,9.6,0.0,15.3
2020-03-26,Kamsar,3,569.0,529.0,71.6,13.8,0.0,8.15
2020-03-26,Vancouver,3,569.0,529.0,336.5,6.6,0.07,15.57
2020-03-26,Zhangjiagang,3,569.0,529.0,9.1,8.7,0.33,0.46
2020-03-26,Nantong,3,569.0,529.0,151.7,29.3,0.3,4.18
2020-03-26,Nanjing,3,569.0,529.0,199.5,16.4,0.37,4.64
2020-03-26,Jiangyin,3,569.0,529.0,106.5,12.3,0.33,3.8
2020-03-26,Caofeidian,3,569.0,529.0,111.2,24.9,0.3,1.08
2020-03-26,Tianjin,3,569.0,529.0,142.0,10.9,0.27,1.18
2020-03-26,Jingtang,3,569.0,529.0,121.7,20.7,0.3,0.86
2020-03-26,Qinhuangdao,3,569.0,529.0,41.1,12.2,0.3,0.94
2020-03-26,Dalian,3,569.0,529.0,70.3,16.5,0.27,0.97
2020-03-26,Yingkou,3,569.0,529.0,42.3,25.3,0.27,0.99
2020-03-26,Qingdao,3,569.0,529.0,121.4,13.7,0.27,4.4
2020-03-26,Rizhao,3,569.0,529.0,47.3,20.4,0.27,0.79
2020-03-26,Lianyungang,3,569.0,529.0,84.1,15.2,0.27,3.8
2020-03-26,Ningbo,3,569.0,529.0,61.0,11.9,0.15,2.49
2020-03-26,Zhoushan,3,569.0,529.0,43.7,25.9,0.15,4.57
2020-03-26,Fangcheng,3,569.0,529.0,294.1,13.3,0.0,16.26
2020-03-26,Zhanjiang,3,569.0,529.0,179.0,14.9,0.09,8.18
2020-03-26,Guangzhou,3,569.0,529.0,258.1,26.1,0.0,13.77
2020-03-26,Krishnapatnam,3,569.0,529.0,187.4,19.5,0.0,15.35
2020-03-26,Mangalore,3,569.0,529.0,191.1,16.1,0.0,15.86
2020-03-26,Gwangyang,3,569.0,529.0,106.2,17.4,0.0,1.49
2020-03-26,Teluk Rubiah,3,569.0,529.0,11.3,7.5,0.0,1.22
2020-03-27,Ponta da Madeira,3,556.0,529.7,477.3,19.5,0.0,15.28
2020-03-27,Tubarao,3,556.0,529.7,41.7,13.4,0.0,4.95
2020-03-27,Itaguai,3,556.0,529.7,158.4,11.9,0.0,13.11
2020-03-27,Port Hedland,3,556.0,529.7,77.6,34.5,0.0,1.83
2020-03-27,Dampier,3,556.0,529.7,82.1,28.8,0.0,2.29
2020-03-27,Saldanha Bay,3,556.0,529.7,23.4,39.7,0.13,2.48
2020-03-27,Taboneo,3,556.0,529.7,338.8,11.2,0.0,15.64
