vessel,cargo,base_cargo_id,from_pos,load_port,discharge_port,ballast_nm,laden_nm,dur_ballast_days,dur_laden_days,total_duration,loaded_qty,revenue,hire_net,bunker_expense,misc_expense,profit_loss,tce,origin_port_delay,destination_port_delay,bunker_location
PACIFIC GLORY,MARKET_Teck Resources_Coking Coal_4,MARKET_Teck Resources_Coking Coal_4,GWANGYANG,VANCOUVER,FANGCHENG,4900.0,6200.0,16.07611548556431,21.174863387978146,69.906534429098,160000.0,2464000.0,715192.0829425011,868371.4733990221,299500.0,580936.4436584767,25815.932952539853,10.96,8.74,Singapore
ANN BELL,MARKET_Vale_Iron Ore_1,MARKET_Vale_Iron Ore_1,QINGDAO,PONTA DA MADEIRA,CAOFEIDIAN,10768.94,11049.5,35.89646666666667,38.36631944444444,107.53278611111111,180803.0,3828503.525,981232.8841753472,2101598.891111111,179500.0,566171.7497135419,17834.888703403725,16.99,3.78,Qingdao
GOLDEN ASCENT,MARKET_Vale Malaysia_Iron Ore_7,MARKET_Vale Malaysia_Iron Ore_7,FANGCHENG,TUBARAO,TELUK RUBIAH,10191.84,10200.0,34.52520325203252,36.01694915254237,101.79215240457489,179965.0,3810758.875,1121038.6938171766,1956213.2069836017,174500.0,559006.9741992215,20122.198549576995,15.18,3.12,Qingdao
GOLDEN ASCENT,MARKET_Adaro_Thermal Coal_3,MARKET_Adaro_Thermal Coal_3,FANGCHENG,TABONEO,KRISHNAPATNAM,1830.51,2411.88,6.200914634146341,8.516525423728812,53.70315434358944,150000.0,1462500.0,375994.8529770824,465349.1675766255,99500.0,521655.97944629216,32055.347101597767,16.64,9.06,Qingdao
PACIFIC GLORY,MARKET_Adaro_Thermal Coal_3,MARKET_Adaro_Thermal Coal_3,GWANGYANG,TABONEO,KRISHNAPATNAM,2600.0,2411.88,8.530183727034123,8.237295081967215,55.75319309471563,150000.0,1462500.0,428107.7356342241,417406.06647086126,99500.0,517486.1978949148,31464.008850873368,16.64,9.06,Singapore
ANN BELL,MARKET_Adaro_Thermal Coal_3,MARKET_Adaro_Thermal Coal_3,QINGDAO,TABONEO,KRISHNAPATNAM,2600.0,2411.88,8.666666666666666,8.374583333333334,56.136964285714285,150000.0,1462500.0,342979.01171875,535065.7319047619,99500.0,484955.25637648813,27300.268510067857,16.64,9.17,Qingdao
ANN BELL,MARKET_Teck Resources_Coking Coal_4,MARKET_Teck Resources_Coking Coal_4,QINGDAO,VANCOUVER,FANGCHENG,5100.0,6200.0,17.0,21.52777777777778,71.18333333333334,160000.0,2464000.0,582244.3229166666,1127976.4722222222,299500.0,454279.20486111124,20133.186036473508,10.96,8.74,Qingdao
GOLDEN ASCENT,MARKET_Vale_Iron Ore_1,MARKET_Vale_Iron Ore_1,FANGCHENG,PONTA DA MADEIRA,CAOFEIDIAN,10990.82,11049.5,37.23177506775067,39.01659604519774,109.5183711129484,179965.0,3810758.875,1191613.285387169,2106887.8684505755,179500.0,332757.7211622554,17176.32658980733,16.99,3.78,Qingdao
OCEAN HORIZON,MARKET_Teck Resources_Coking Coal_4,MARKET_Teck Resources_Coking Coal_4,MAP TA PHUT,VANCOUVER,FANGCHENG,7200.0,6200.0,23.437499999999996,21.002710027100267,77.09576558265582,160000.0,2464000.0,870083.9338795731,996780.5683468833,299500.0,297635.4977735436,20345.044966278576,10.96,8.74,Singapore
OCEAN HORIZON,MARKET_Rio Tinto_Iron Ore_0,MARKET_Rio Tinto_Iron Ore_0,MAP TA PHUT,DAMPIER,QINGDAO,3050.0,3331.2,9.928385416666666,11.284552845528452,38.01460492886178,170000.0,1472625.0,485169.8078434641,495018.4907837906,249500.0,242936.70137274533,22750.05458853836,2.46,3.55,Singapore
GOLDEN ASCENT,MARKET_Teck Resources_Coking Coal_4,MARKET_Teck Resources_Coking Coal_4,FANGCHENG,VANCOUVER,FANGCHENG,6200.0,6200.0,21.002710027100267,21.892655367231637,75.55092094988746,160000.0,2464000.0,749903.3342290202,1216109.706448027,299500.0,198486.9593229529,16980.745839498715,10.96,8.74,Qingdao
GOLDEN ASCENT,MARKET_Rio Tinto_Iron Ore_0,MARKET_Rio Tinto_Iron Ore_0,FANGCHENG,DAMPIER,QINGDAO,2681.08,3331.2,9.082249322493224,11.762711864406777,37.64662785356666,170000.0,1472625.0,424781.047611358,617640.9718501676,249500.0,180702.9805384744,19138.703118182395,2.46,3.55,Qingdao
OCEAN HORIZON,MARKET_Anglo American_Iron Ore_2,MARKET_Anglo American_Iron Ore_2,MAP TA PHUT,SALDANHA BAY,TIANJIN,6500.0,8350.68,21.158854166666664,28.28821138211382,69.01979282150775,180000.0,2425500.0,950034.8905535442,1113064.0381910568,189500.0,172901.0712553989,17918.2970176273,2.94,3.41,Singapore
ANN BELL,MARKET_Rio Tinto_Iron Ore_0,MARKET_Rio Tinto_Iron Ore_0,QINGDAO,DAMPIER,QINGDAO,3331.2,3331.2,11.104,11.566666666666666,39.312333333333335,170000.0,1472625.0,378438.0760416667,677228.2625,249500.0,167458.66145833326,16313.767843445867,2.46,3.39,Qingdao
PACIFIC GLORY,MARKET_Rio Tinto_Iron Ore_0,MARKET_Rio Tinto_Iron Ore_0,GWANGYANG,DAMPIER,QINGDAO,4150.0,3331.2,13.615485564304464,11.37704918032787,41.794201411299,170000.0,1472625.0,509745.94910395425,585007.8627285832,249500.0,128371.18816746259,17832.370490456968,2.46,3.55,Singapore
OCEAN HORIZON,MARKET_BHP_Iron Ore_6,MARKET_BHP_Iron Ore_6,MAP TA PHUT,PORT HEDLAND,GWANGYANG,3100.0,4200.0,10.091145833333332,14.227642276422761,39.791288109756096,165000.0,1429312.5,528778.5269388338,562948.4402311991,239500.0,98085.5328299671,17971.356384441282,2.78,2.13,Singapore
GOLDEN ASCENT,MARKET_BHP_Iron Ore_6,MARKET_BHP_Iron Ore_6,FANGCHENG,PORT HEDLAND,GWANGYANG,2842.74,4200.0,9.629878048780485,14.830508474576268,39.93288652335676,165000.0,1429312.5,470247.91948829574,716396.077521703,239500.0,3168.502990001347,13517.344498791546,2.78,2.13,Qingdao
ANN BELL,MARKET_BHP_Iron Ore_6,MARKET_BHP_Iron Ore_6,QINGDAO,PORT HEDLAND,GWANGYANG,3492.58,4200.0,11.641933333333332,14.583333333333334,41.54776666666667,165000.0,1429312.5,416046.64864583337,776569.9495833333,239500.0,-2804.0982291667024,11233.15133971166,2.78,1.98,Qingdao
PACIFIC GLORY,MARKET_BHP_Iron Ore_6,MARKET_BHP_Iron Ore_6,GWANGYANG,PORT HEDLAND,GWANGYANG,4200.0,4200.0,13.77952755905512,14.34426229508197,43.59628985413709,165000.0,1429312.5,551086.1989721828,655169.7440121984,239500.0,-16443.442984381225,13819.95425262077,2.78,2.13,Singapore
PACIFIC GLORY,MARKET_Anglo American_Iron Ore_2,MARKET_Anglo American_Iron Ore_2,GWANGYANG,SALDANHA BAY,TIANJIN,8900.0,8350.68,29.199475065616802,28.52008196721312,77.10228430555719,180000.0,2425500.0,1010572.8399326623,1310270.9142763868,189500.0,-84843.75420904928,13049.045358285666,2.94,3.22,Singapore
GOLDEN ASCENT,MARKET_Anglo American_Iron Ore_2,MARKET_Anglo American_Iron Ore_2,FANGCHENG,SALDANHA BAY,TIANJIN,6681.36,8350.68,22.63333333333333,29.486864406779656,71.69292501284025,179965.0,2425028.375,877351.2862817795,1471846.274578839,189500.0,-113669.18586061848,11687.295912619355,2.94,3.41,Qingdao
ANN BELL,MARKET_Anglo American_Iron Ore_2,MARKET_Anglo American_Iron Ore_2,QINGDAO,SALDANHA BAY,TIANJIN,8085.54,8350.68,26.9518,28.995416666666667,75.51994393939393,180000.0,2425500.0,782268.8347395833,1603220.5553030304,189500.0,-149489.39004261373,9148.185015899466,2.94,3.41,Qingdao
